ResponseId,SurveyId,CustomerId,Response,SubmitDate
1,1,2,Rewards take too long to earn.,2024-04-10
2,2,18,Not impressed.,2023-02-22
3,3,26,The wifi didn’t work.,2023-08-27
4,4,19,Love the latte art!,2023-06-25
5,5,24,Love the rewards program.,2024-09-24
6,6,38,I’m not sure I’d return.,2023-04-09
7,7,11,It's convenient and easy.,2024-12-21
8,8,16,I appreciate the quick service.,2024-07-15
9,9,8,App needs more features.,2024-11-27
10,10,5,I got my order quickly.,2024-02-14
11,11,37,It’s always busy here.,2024-01-23
12,12,36,Not user friendly.,2023-06-30
13,13,22,This location is always clean.,2023-01-12
14,14,27,Will definitely return!,2023-04-27
15,15,39,The app is glitchy.,2024-05-29
16,16,29,I love this place!,2024-10-21
17,17,12,Absolutely love it!,2024-12-15
18,18,17,The coffee was perfect.,2023-01-20
19,19,21,Absolutely love it!,2024-02-18
20,20,14,Service was slow.,2024-12-17
21,21,6,Please bring back the old menu.,2024-02-15
22,22,35,This shop is a hidden gem.,2023-07-13
23,23,1,This is my go-to cafe.,2023-04-28
24,24,15,I appreciate the quick service.,2023-10-13
25,25,20,Payment process was smooth.,2025-01-27
26,26,25,It feels overpriced.,2024-04-18
27,27,32,Please expand the vegan menu.,2023-02-19
28,28,30,My order was incorrect.,2023-05-30
29,29,28,This location is always clean.,2023-04-01
30,30,13,I had to wait too long.,2023-04-19
31,31,31,Keep up the great work!,2023-02-09
32,32,23,This shop is a hidden gem.,2025-04-08
33,33,4,Love the cozy vibe.,2023-03-20
34,34,3,App crashed during checkout.,2024-07-24
35,35,40,My order was incorrect.,2024-11-22
36,36,33,This shop is a hidden gem.,2025-03-19
37,37,9,Service was slow.,2024-08-05
38,38,34,I didn’t enjoy the latte.,2025-04-03
39,39,10,More dairy-free milk options would be great.,2024-04-17
40,40,7,Please bring back the old menu.,2025-04-07
41,1,40,Perfect spot to study.,2025-01-17
42,2,33,This is my go-to cafe.,2023-08-03
43,3,34,Love the new app update!,2023-01-27
44,4,2,I like the outdoor seating.,2025-03-30
45,5,14,I appreciate the quick service.,2024-06-11
46,6,36,More plant-based options please.,2023-07-28
47,7,32,More dairy-free milk options would be great.,2024-05-04
48,8,12,The wifi didn’t work.,2023-12-02
49,9,26,Everything was clean.,2024-07-25
50,10,24,Payment process was smooth.,2024-04-27
51,11,16,App needs more features.,2025-03-04
52,12,25,Please expand the vegan menu.,2024-04-29
53,13,15,I wasn’t greeted.,2024-11-25
54,14,13,I didn’t know about the app.,2023-06-19
55,15,23,This is my go-to cafe.,2023-09-30
56,16,37,Very cozy environment.,2023-09-15
57,17,6,Not enough seating.,2025-02-04
58,18,10,I didn’t know about the app.,2024-06-16
59,19,8,I like how fast it was.,2024-09-21
60,20,11,Please bring back the old menu.,2024-10-12
61,21,3,I got my order quickly.,2023-05-14
62,22,35,Love the latte art!,2024-03-15
63,23,28,The wifi didn’t work.,2024-06-01
64,24,17,It’s overpriced.,2023-06-29
65,25,29,Love the new app update!,2025-01-28
66,26,4,Not impressed.,2024-02-01
67,27,9,Love the rewards program.,2025-03-30
68,28,38,It’s overpriced.,2023-04-26
69,29,7,More dairy-free milk options would be great.,2023-08-14
70,30,39,Everything was great!,2023-07-04
71,31,21,I appreciate the quick service.,2025-04-09
72,32,22,Music was too loud.,2025-01-11
73,33,31,The rewards need improvement.,2023-09-08
74,34,30,This is my go-to cafe.,2024-08-24
75,35,18,Too sweet for me.,2024-03-23
76,36,20,Rewards take too long to earn.,2023-03-22
77,37,27,Love the community feel here.,2023-11-19
78,38,1,I like how fast it was.,2023-12-18
79,39,19,I come here every week.,2023-09-17
80,40,5,I felt very welcome.,2023-02-13
81,1,33,Not enough seating.,2024-08-13
82,2,12,Not enough seating.,2023-05-03
83,3,37,Will definitely return!,2024-02-08
84,4,36,It's convenient and easy.,2023-10-06
85,5,29,Not impressed.,2024-11-19
86,6,32,The coffee was perfect.,2024-06-11
87,7,15,It feels overpriced.,2023-05-23
88,8,7,App crashed during checkout.,2023-07-29
89,9,17,I like how fast it was.,2023-12-28
90,10,6,The coffee was perfect.,2025-02-25
91,11,14,Amazing experience!,2023-04-01
92,12,16,I didn’t enjoy the latte.,2023-05-03
93,13,26,The rewards need improvement.,2025-02-15
94,14,13,I would recommend it.,2024-09-23
95,15,25,This shop is a hidden gem.,2024-07-29
96,16,24,I didn’t enjoy the latte.,2023-03-05
97,17,10,I got my order quickly.,2023-09-10
98,18,9,Not impressed.,2024-12-26
99,19,5,Not enough seating.,2025-02-10
100,20,4,More plant-based options please.,2023-09-03
