TicketId,AssignedToEmp,CreatedAt,Description,Status
1,78,7/6/2023,Coin balance discrepancy,Awaiting Customer Response
2,7,8/8/2024,Complaints of unauthorized purchase,Escalated
3,42,2/21/2023,Sudden coin drain,Escalated
4,22,8/21/2023,Suspected fake account,Escalated
5,1,7/4/2024,Linked account mismatch,Awaiting Customer Response
6,74,10/2/2024,Multiple chargebacks,Resolved
7,50,3/9/2025,Reward item redeemed multiple times,Open
8,17,3/31/2023,Multiple failed login attempts,Dismissed
9,69,7/6/2024,Complaints of unauthorized purchase,Awaiting Customer Response
10,37,6/12/2024,Suspicious refund activity,Investigating
11,31,10/6/2024,Sudden coin drain,Resolved
12,10,5/22/2023,Unusual high-value transaction,Awaiting Customer Response
13,8,8/2/2023,System flagged abnormal usage,On Hold
14,38,1/3/2023,Complaints of unauthorized purchase,Open
15,70,11/6/2024,Data tampering suspected,Awaiting Customer Response
16,52,5/8/2024,Multiple failed login attempts,Dismissed
17,30,8/11/2024,Suspected fake account,Investigating
18,65,10/27/2023,Multiple chargebacks,Resolved
19,12,11/11/2024,Multiple failed login attempts,Investigating
20,15,11/9/2023,Unusual high-value transaction,Closed
21,27,9/18/2024,Duplicate transaction entries,Closed
22,44,12/7/2024,High transaction volume in short time,Investigating
23,53,1/18/2025,System flagged abnormal usage,Open
24,34,9/9/2024,Multiple reports from same user,Open
25,54,2/16/2025,Reward item redeemed multiple times,Dismissed
26,40,1/28/2025,Card used in multiple cities,Escalated
27,13,3/22/2024,Complaints of unauthorized purchase,Investigating
28,79,2/15/2024,Suspicious refund activity,Escalated
29,63,3/14/2025,Inconsistent location data,Awaiting Customer Response
30,48,12/23/2023,Linked account mismatch,Closed
31,23,8/2/2023,Account accessed from unknown device,On Hold
32,47,7/3/2023,Reward item redeemed multiple times,Open
33,24,11/21/2023,Suspected fake account,Escalated
34,49,10/28/2023,Account accessed from unknown device,Escalated
35,56,9/10/2024,Coin balance discrepancy,Open
36,72,3/24/2023,Inconsistent location data,Resolved
37,58,7/20/2023,Account accessed from unknown device,Resolved
38,39,1/20/2024,Customer denying transactions,Escalated
39,14,1/3/2025,Multiple reports from same user,Closed
40,68,2/21/2023,Multiple reports from same user,Dismissed
