TicketId,AssignedToEmp,CreatedAt,Description,Status
1,78,2023-07-06,Coin balance discrepancy,Awaiting Customer Response
2,7,2024-08-08,Complaints of unauthorized purchase,Escalated
3,42,2023-02-21,Sudden coin drain,Escalated
4,22,2023-08-21,Suspected fake account,Escalated
5,1,2024-07-04,Linked account mismatch,Awaiting Customer Response
6,74,2024-10-02,Multiple chargebacks,Resolved
7,50,2025-03-09,Reward item redeemed multiple times,Open
8,17,2023-03-31,Multiple failed login attempts,Dismissed
9,69,2024-07-06,Complaints of unauthorized purchase,Awaiting Customer Response
10,37,2024-06-12,Suspicious refund activity,Investigating
11,31,2024-10-06,Sudden coin drain,Resolved
12,10,2023-05-22,Unusual high-value transaction,Awaiting Customer Response
13,8,2023-08-02,System flagged abnormal usage,On Hold
14,38,2023-01-03,Complaints of unauthorized purchase,Open
15,70,2024-11-06,Data tampering suspected,Awaiting Customer Response
16,52,2024-05-08,Multiple failed login attempts,Dismissed
17,30,2024-08-11,Suspected fake account,Investigating
18,65,2023-10-27,Multiple chargebacks,Resolved
19,12,2024-11-11,Multiple failed login attempts,Investigating
20,15,2023-11-09,Unusual high-value transaction,Closed
21,27,2024-09-18,Duplicate transaction entries,Closed
22,44,2024-12-07,High transaction volume in short time,Investigating
23,53,2025-01-18,System flagged abnormal usage,Open
24,34,2024-09-09,Multiple reports from same user,Open
25,54,2025-02-16,Reward item redeemed multiple times,Dismissed
26,40,2025-01-28,Card used in multiple cities,Escalated
27,13,2024-03-22,Complaints of unauthorized purchase,Investigating
28,79,2024-02-15,Suspicious refund activity,Escalated
29,63,2025-03-14,Inconsistent location data,Awaiting Customer Response
30,48,2023-12-23,Linked account mismatch,Closed
31,23,2023-08-02,Account accessed from unknown device,On Hold
32,47,2023-07-03,Reward item redeemed multiple times,Open
33,24,2023-11-21,Suspected fake account,Escalated
34,49,2023-10-28,Account accessed from unknown device,Escalated
35,56,2024-09-10,Coin balance discrepancy,Open
36,72,2023-03-24,Inconsistent location data,Resolved
37,58,2023-07-20,Account accessed from unknown device,Resolved
38,39,2024-01-20,Customer denying transactions,Escalated
39,14,2025-01-03,Multiple reports from same user,Closed
40,68,2023-02-21,Multiple reports from same user,Dismissed
