AlertId,CreatedBy,Title,Message,SentAt,Audience,Status,Priority
1,58,Menu Update,Check out your coin balance,1/8/2024,All Users,Escalated,High
2,29,App Version Release,Weekend flash sale starts now,11/25/2024,Admins,Dismissed,High
3,65,Operating Hours Update,Enjoy faster checkout with saved cards,8/19/2023,Loyalty Members,Escalated,Medium
4,4,Loyalty Tier Adjustment,Reminder: Update your payment info,1/25/2024,Beta Testers,Closed,High
5,59,Temporary Feature Suspension,Your order has shipped,8/13/2024,Merchants,Open,High
6,57,Feedback Survey Launch,Order ahead and skip the line.,10/13/2023,Loyalty Members,Investigating,Medium
7,67,Feature Deactivation Notice,Discount applied to your next purchase,3/19/2024,Beta Testers,Escalated,High
8,51,Rewards Expiry Notice,Important notice about reward items,2/12/2023,Support Team.,On Hold,Medium
9,6,Server Optimization,Welcome to CafeCoin!,10/26/2023,All Users,Resolved,High
10,46,Loyalty Program Update,CafeCoin turns one – celebrate with us!,12/25/2023,New Users,Escalated,Low
11,9,Operating Hours Update,CafeCoin turns one – celebrate with us!,4/24/2023,Inactive Users,Investigating,Medium
12,41,Limited Time Offer,Your account summary is ready,12/2/2024,Merchants,On Hold,Low
13,76,Feature Deactivation Notice,Weekend flash sale starts now,12/19/2024,All Users,Resolved,Low
14,7,Urgent Security Update,Discount applied to your next purchase,6/26/2024,Merchants,Dismissed,Low
15,31,Feedback Survey Launch,We've refreshed our menu!,5/28/2024,Admins,Resolved,Low
16,32,System Maintenance,Discount applied to your next purchase,12/24/2024,Beta Testers,Resolved,Medium
17,42,Mobile App Outage,Important notice about reward items,2/13/2023,Employees,On Hold,Low
18,16,Data Usage Policy,We've refreshed our menu!,3/18/2023,Beta Testers,Investigating,Low
19,11,Customer Support Downtime,Reminder: Update your payment info,2/11/2024,All Users,Escalated,Medium
20,54,Limited Time Offer,Your feedback matters – take our survey,2/18/2023,New Users,Escalated,Low
21,48,Transaction Delay Alert,Your order has shipped,2/13/2025,All Users,Closed,High
22,25,Website Maintenance,New dashboard tools for merchants,8/16/2023,Customers,Escalated,Low
23,45,Website Maintenance,Community spotlight: Featured merchants,7/13/2024,Customers,Investigating,High
24,26,Menu Update,Refer a friend and earn coins,3/8/2023,Beta Testers,Open,Low
