AmenityId,Name,Description
1,Wi-Fi,Wi-Fi:Wireless internet
2,Outdoor Seating,Outdoor Seating:Tables outside
3,Vegan,Vegan:Plant-based options
4,Gluten-Free,Gluten-Free:No gluten
5,Dog-Friendly,Dog-Friendly:Dogs allowed
6,Open Late,Open Late:Open past 4pm
7,Drive-Thru,Drive-Thru:Order from car
8,Live Music,Live Music:In-store performances
9,Study Area,Study Area:Quiet workspace
10,Charging Outlets,Charging Outlets:Power for devices
11,Fireplace,Fireplace:Indoor fire feature
12,Pet-Friendly,Pet-Friendly:All pets welcome
13,Quiet Zone,Quiet Zone:No loud noise
14,Local Art Display,Local Art Display:Art by locals
15,Book Exchange,Book Exchange:Swap books
