SurveyId,CreatedByEmp,Question,DateSent
1,40,How satisfied are you with the selection of drinks?,4/24/2023
2,17,Do you follow us on social media?,8/4/2023
3,20,Was the wait time acceptable?,3/11/2025
4,2,Have you encountered any technical issues with the app?,5/23/2023
5,55,Do you order ahead or in-store?,8/30/2024
6,5,What can we improve?,9/29/2024
7,12,What is your least favorite item?,10/5/2024
8,13,Do you follow us on social media?,7/12/2023
9,48,Is it easy to earn and redeem coins?,8/13/2024
10,28,Did the cafe meet your cleanliness expectations?,11/7/2024
11,70,Are our hours of operation convenient?,3/31/2024
12,54,Have you used the CafeCoin rewards?,8/11/2023
13,29,Is the shop environment comfortable?,6/18/2024
14,50,Have you encountered any technical issues with the app?,2/18/2024
15,39,Do you order ahead or in-store?,9/27/2024
16,26,How often do you visit this cafe?,7/16/2024
17,11,How would you rate the ambiance?,1/30/2023
18,43,Have you encountered any technical issues with the app?,6/27/2023
19,34,Do you read our newsletters?,7/2/2024
20,42,Any additional comments?,5/24/2024
21,51,Did the cafe meet your cleanliness expectations?,10/19/2024
22,77,Do you use digital payments?,2/20/2024
23,41,Would you like to receive special birthday offers?,10/13/2024
24,64,Was the service friendly?,5/21/2024
25,74,Would you like to see more local events at this cafe?,5/9/2024
26,46,Would you like more gluten-free options?,6/16/2024
27,58,Do you feel the pricing is fair?,1/11/2024
28,47,What can we improve?,4/1/2023
29,75,Would you prefer more seasonal items?,8/26/2024
30,30,Do you feel the pricing is fair?,8/2/2024
31,79,Did you feel welcomed by the staff?,6/9/2023
32,37,How likely are you to recommend this shop to a friend?,7/9/2024
33,18,Was the drink made to your expectations?,3/9/2024
34,65,Would you like more vegan options?,3/2/2024
35,9,Do you feel CafeCoin adds value to your visits?,1/16/2023
36,53,Do you use digital payments?,8/19/2024
37,15,Was the service friendly?,10/22/2024
38,60,How often do you visit this cafe?,4/1/2025
39,57,Any additional comments?,8/29/2024
40,7,Are our hours of operation convenient?,3/8/2023
